image_index,image_url,model_response,,,,,,model choice,Standard Answer,accuracy,model,prompt
1,https://raw.githubusercontent.com/PON2020/vast/main/image1.png.png,,,,,,,R,R,T,C,1
2,https://raw.githubusercontent.com/PON2020/vast/main/image2.png.png,,,,,,,L,L,T,C,1
3,https://raw.githubusercontent.com/PON2020/vast/main/image3.png.png,,,,,,,L,L,T,C,1
4,https://raw.githubusercontent.com/PON2020/vast/main/image4.png.png,,,,,,,L,R,F,C,1
5,https://raw.githubusercontent.com/PON2020/vast/main/image5.png.png,,,,,,,R,L,F,C,1
6,https://raw.githubusercontent.com/PON2020/vast/main/image6.png.png,,,,,,,R,L,F,C,1
7,https://raw.githubusercontent.com/PON2020/vast/main/image7.png.png,,,,,,,R,R,T,C,1
8,https://raw.githubusercontent.com/PON2020/vast/main/image8.png.png,,,,,,,R,R,T,C,1
9,https://raw.githubusercontent.com/PON2020/vast/main/image9.png.png,,,,,,,L,L,T,C,1
10,https://raw.githubusercontent.com/PON2020/vast/main/image10.png.png,,,,,,,R,L,F,C,1
11,https://raw.githubusercontent.com/PON2020/vast/main/image11.png.png,,,,,,,L,R,F,C,1
12,https://raw.githubusercontent.com/PON2020/vast/main/image12.png.png,,,,,,,L,L,T,C,1
13,https://raw.githubusercontent.com/PON2020/vast/main/image13.png.png,,,,,,,L,R,F,C,1
14,https://raw.githubusercontent.com/PON2020/vast/main/image14.png.png,,,,,,,L,L,T,C,1
15,https://raw.githubusercontent.com/PON2020/vast/main/image15.png.png,,,,,,,L,L,T,C,1
16,https://raw.githubusercontent.com/PON2020/vast/main/image16.png.png,,,,,,,R,R,T,C,1
17,https://raw.githubusercontent.com/PON2020/vast/main/image17.png.png,,,,,,,R,L,F,C,1
18,https://raw.githubusercontent.com/PON2020/vast/main/image18.png.png,,,,,,,R,L,F,C,1
19,https://raw.githubusercontent.com/PON2020/vast/main/image19.png.png,,,,,,,R,L,F,C,1
20,https://raw.githubusercontent.com/PON2020/vast/main/image20.png.png,,,,,,,R,L,F,C,1
21,https://raw.githubusercontent.com/PON2020/vast/main/image21.png.png,,,,,,,R,L,F,C,1
22,https://raw.githubusercontent.com/PON2020/vast/main/image22.png.png,,,,,,,R,R,T,C,1
23,https://raw.githubusercontent.com/PON2020/vast/main/image23.png.png,,,,,,,R,R,T,C,1
24,https://raw.githubusercontent.com/PON2020/vast/main/image24.png.png,,,,,,,L,R,T,C,1
25,https://raw.githubusercontent.com/PON2020/vast/main/image25.png.png,,,,,,,R,L,F,C,1
26,https://raw.githubusercontent.com/PON2020/vast/main/image26.png.png,,,,,,,R,L,F,C,1
27,https://raw.githubusercontent.com/PON2020/vast/main/image27.png.png,,,,,,,R,R,T,C,1
28,https://raw.githubusercontent.com/PON2020/vast/main/image28.png.png,,,,,,,R,R,T,C,1
29,https://raw.githubusercontent.com/PON2020/vast/main/image29.png.png,,,,,,,R,R,T,C,1
30,https://raw.githubusercontent.com/PON2020/vast/main/image30.png.png,,,,,,,R,L,F,C,1
31,https://raw.githubusercontent.com/PON2020/vast/main/image31.png.png,,,,,,,R,L,F,C,1
32,https://raw.githubusercontent.com/PON2020/vast/main/image32.png.png,,,,,,,R,L,F,C,1
33,https://raw.githubusercontent.com/PON2020/vast/main/image33.png.png,,,,,,,L,R,F,C,1
34,https://raw.githubusercontent.com/PON2020/vast/main/image34.png.png,,,,,,,L,L,T,C,1
35,https://raw.githubusercontent.com/PON2020/vast/main/image35.png.png,,,,,,,L,R,F,C,1
36,https://raw.githubusercontent.com/PON2020/vast/main/image36.png.png,,,,,,,L,L,T,C,1
37,https://raw.githubusercontent.com/PON2020/vast/main/image37.png.png,,,,,,,R,R,T,C,1
38,https://raw.githubusercontent.com/PON2020/vast/main/image38.png.png,,,,,,,L,L,T,C,1
39,https://raw.githubusercontent.com/PON2020/vast/main/image39.png.png,,,,,,,R,R,T,C,1
40,https://raw.githubusercontent.com/PON2020/vast/main/image40.png.png,,,,,,,L,R,F,C,1
41,https://raw.githubusercontent.com/PON2020/vast/main/image41.png.png,,,,,,,L,R,F,C,1
42,https://raw.githubusercontent.com/PON2020/vast/main/image42.png.png,,,,,,,L,R,F,C,1
43,https://raw.githubusercontent.com/PON2020/vast/main/image43.png.png,,,,,,,R,L,F,C,1
44,https://raw.githubusercontent.com/PON2020/vast/main/image44.png.png,,,,,,,R,L,F,C,1
45,https://raw.githubusercontent.com/PON2020/vast/main/image45.png.png,,,,,,,L,R,F,C,1
46,https://raw.githubusercontent.com/PON2020/vast/main/image46.png.png,,,,,,,L,L,T,C,1
47,https://raw.githubusercontent.com/PON2020/vast/main/image47.png.png,,,,,,,L,L,T,C,1
48,https://raw.githubusercontent.com/PON2020/vast/main/image48.png.png,,,,,,,L,L,T,C,1
49,https://raw.githubusercontent.com/PON2020/vast/main/image49.png.png,,,,,,,R,R,T,C,1
50,https://raw.githubusercontent.com/PON2020/vast/main/image50.png.png,,,,,,,L,L,T,C,1
