image_index,image_url,model_response,,,,,,model choice,Standard Answer,accuracy,model,prompt
1,https://raw.githubusercontent.com/PON2020/vast/main/image1.png.png,,,,,,,L,R,F,C,5
2,https://raw.githubusercontent.com/PON2020/vast/main/image2.png.png,,,,,,,L,L,T,C,5
3,https://raw.githubusercontent.com/PON2020/vast/main/image3.png.png,,,,,,,L,L,T,C,5
4,https://raw.githubusercontent.com/PON2020/vast/main/image4.png.png,,,,,,,L,R,F,C,5
5,https://raw.githubusercontent.com/PON2020/vast/main/image5.png.png,,,,,,,R,L,F,C,5
6,https://raw.githubusercontent.com/PON2020/vast/main/image6.png.png,,,,,,,L,L,T,C,5
7,https://raw.githubusercontent.com/PON2020/vast/main/image7.png.png,,,,,,,L,R,F,C,5
8,https://raw.githubusercontent.com/PON2020/vast/main/image8.png.png,,,,,,,L,R,F,C,5
9,https://raw.githubusercontent.com/PON2020/vast/main/image9.png.png,,,,,,,L,L,T,C,5
10,https://raw.githubusercontent.com/PON2020/vast/main/image10.png.png,,,,,,,R,L,F,C,5
11,https://raw.githubusercontent.com/PON2020/vast/main/image11.png.png,,,,,,,L,R,F,C,5
12,https://raw.githubusercontent.com/PON2020/vast/main/image12.png.png,,,,,,,L,L,T,C,5
13,https://raw.githubusercontent.com/PON2020/vast/main/image13.png.png,,,,,,,L,R,F,C,5
14,https://raw.githubusercontent.com/PON2020/vast/main/image14.png.png,,,,,,,R,L,F,C,5
15,https://raw.githubusercontent.com/PON2020/vast/main/image15.png.png,,,,,,,L,L,F,C,5
16,https://raw.githubusercontent.com/PON2020/vast/main/image16.png.png,,,,,,,R,R,T,C,5
17,https://raw.githubusercontent.com/PON2020/vast/main/image17.png.png,,,,,,,L,L,T,C,5
18,https://raw.githubusercontent.com/PON2020/vast/main/image18.png.png,,,,,,,L,L,T,C,5
19,https://raw.githubusercontent.com/PON2020/vast/main/image19.png.png,,,,,,,R,L,F,C,5
20,https://raw.githubusercontent.com/PON2020/vast/main/image20.png.png,,,,,,,R,L,F,C,5
21,https://raw.githubusercontent.com/PON2020/vast/main/image21.png.png,,,,,,,L,L,T,C,5
22,https://raw.githubusercontent.com/PON2020/vast/main/image22.png.png,,,,,,,R,R,T,C,5
23,https://raw.githubusercontent.com/PON2020/vast/main/image23.png.png,,,,,,,R,R,T,C,5
24,https://raw.githubusercontent.com/PON2020/vast/main/image24.png.png,,,,,,,L,R,F,C,5
25,https://raw.githubusercontent.com/PON2020/vast/main/image25.png.png,,,,,,,R,L,F,C,5
26,https://raw.githubusercontent.com/PON2020/vast/main/image26.png.png,,,,,,,R,L,F,C,5
27,https://raw.githubusercontent.com/PON2020/vast/main/image27.png.png,,,,,,,R,R,T,C,5
28,https://raw.githubusercontent.com/PON2020/vast/main/image28.png.png,,,,,,,R,R,T,C,5
29,https://raw.githubusercontent.com/PON2020/vast/main/image29.png.png,,,,,,,L,R,F,C,5
30,https://raw.githubusercontent.com/PON2020/vast/main/image30.png.png,,,,,,,L,L,T,C,5
31,https://raw.githubusercontent.com/PON2020/vast/main/image31.png.png,,,,,,,R,L,F,C,5
32,https://raw.githubusercontent.com/PON2020/vast/main/image32.png.png,,,,,,,R,L,F,C,5
33,https://raw.githubusercontent.com/PON2020/vast/main/image33.png.png,,,,,,,L,R,F,C,5
34,https://raw.githubusercontent.com/PON2020/vast/main/image34.png.png,,,,,,,L,L,T,C,5
35,https://raw.githubusercontent.com/PON2020/vast/main/image35.png.png,,,,,,,L,R,F,C,5
36,https://raw.githubusercontent.com/PON2020/vast/main/image36.png.png,,,,,,,L,L,T,C,5
37,https://raw.githubusercontent.com/PON2020/vast/main/image37.png.png,,,,,,,R,R,T,C,5
38,https://raw.githubusercontent.com/PON2020/vast/main/image38.png.png,,,,,,,L,L,T,C,5
39,https://raw.githubusercontent.com/PON2020/vast/main/image39.png.png,,,,,,,L,R,F,C,5
40,https://raw.githubusercontent.com/PON2020/vast/main/image40.png.png,,,,,,,L,R,F,C,5
41,https://raw.githubusercontent.com/PON2020/vast/main/image41.png.png,,,,,,,L,R,F,C,5
42,https://raw.githubusercontent.com/PON2020/vast/main/image42.png.png,,,,,,,L,R,F,C,5
43,https://raw.githubusercontent.com/PON2020/vast/main/image43.png.png,,,,,,,R,L,F,C,5
44,https://raw.githubusercontent.com/PON2020/vast/main/image44.png.png,,,,,,,R,L,F,C,5
45,https://raw.githubusercontent.com/PON2020/vast/main/image45.png.png,,,,,,,R,R,T,C,5
46,https://raw.githubusercontent.com/PON2020/vast/main/image46.png.png,,,,,,,L,L,T,C,5
47,https://raw.githubusercontent.com/PON2020/vast/main/image47.png.png,,,,,,,R,L,F,C,5
48,https://raw.githubusercontent.com/PON2020/vast/main/image48.png.png,,,,,,,L,L,T,C,5
49,https://raw.githubusercontent.com/PON2020/vast/main/image49.png.png,,,,,,,L,R,F,C,5
50,https://raw.githubusercontent.com/PON2020/vast/main/image50.png.png,,,,,,,L,L,T,C,5
